name,path_name,theatre_code,address,city,state,postal_code,latitude,longitude,phone_number,pwp_availability,iana_timezone,value_day_text,unlimited_tier
Regal Aviation Mall,regal-aviation-mall-1731,1731,578 Aviation Rd,Queensbury,NY,12804,43.3281,-73.6802,(844) 462-7342,False,US/Eastern,$6.50 every Tuesday,3
Regal Fossil Creek,regal-fossil-creek-1317,1317,N. 6100 Freeway,Ft Worth,TX,76137,32.8532,-97.3123,(844) 462-7342,True,US/Central,$5.00 every Tuesday,1
Regal The Landing,regal-the-landing-1935,1935,900 N 10th Place,Renton,WA,98057,47.4982,-122.2042,(844) 462-7342,True,US/Pacific,$6.50 every Tuesday,2
Regal Warren Midwest City,regal-midwest-city-1482,1482,5905 SE 15th Street,Midwest City,OK,73110,35.45315,-97.4182,(844) 462-7342,True,US/Central,$5.50 every Tuesday,2
Regal North Hollywood,regal-north-hollywood-1438,1438,"6150 Laurel Canyon Blvd., #200",North Hollywood,CA,91606,34.18134,-118.39414,(844) 462-7342,True,US/Pacific,$6.50 every Tuesday,2
Regal UA Washington Township,regal-ua-washington-township-1281,1281,121 Tuckahoe Road,Sewell,NJ,08080,39.7224,-75.0309,(844) 462-7342,False,US/Eastern,$6.50 every Tuesday,2
Regal Santa Rosa,regal-santa-rosa-1195,1195,300 Mary Esther Blvd.,Mary Esther,FL,32569,30.4145,-86.6541,(844) 462-7342,True,US/Central,$5.50 every Tuesday,1
Regal Hunt Valley,regal-hunt-valley-1711,1711,11511 McCormick Rd,Hunt Valley,MD,21030,39.4994,-76.6562,(844) 462-7342,True,US/Eastern,$6.50 every Tuesday,2
Regal San Jacinto Metro,regal-san-jacinto-metro-1804,1804,1599 San Jacinto Ave,San Jacinto,CA,92583,33.7723,-116.9566,(844) 462-7342,True,US/Pacific,$6.50 every Tuesday,2
Regal UA Cottonwood,regal-ua-cottonwood-1307,1307,10000 NW Coors Blvd.,Albuquerque,NM,87114,35.1925,-106.6554,(844) 462-7342,True,US/Mountain,$6.00 every Tuesday,2
Regal UA Main Street,regal-ua-main-street-theatre-1314,1314,3720-40 Main Street,Manayunk,PA,19127,40.0153,-75.2097,(844) 462-7342,False,US/Eastern,$6.50 every Tuesday,2
Regal Winter Park Village,regal-winter-park-village-0721,0721,510 North Orlando Ave,Winter Park,FL,32789,28.603,-81.365,(844) 462-7342,True,US/Eastern,$6.50 every Tuesday,2
Regal Champlain Centre,regal-champlain-centre-1734,1734,"60 Smithfield Blvd, Suite 90",Plattsburgh,NY,12901,44.7023,-73.4951,(844) 462-7342,True,US/Eastern,$6.50 every Tuesday,2
Regal Salmon Run,regal-salmon-run-1946,1946,21182 Salmon Run Mall Loop W,Watertown,NY,13601,43.9756,-75.9005,(844) 462-7342,True,US/Eastern,$7.00 every Tuesday,2
Regal Escondido,regal-escondido-1805,1805,350 W Valley Parkway,Escondido,CA,92025,33.121,-117.086,(844) 462-7342,True,US/Pacific,$6.50 every Tuesday,3
Regal Westchester Commons,regal-westchester-commons-1936,1936,361 Perimeter Drive,Midlothian,VA,23114,37.5117,-77.697,(844) 462-7342,True,US/Eastern,$6.00 every Tuesday,2
Regal San Bernardino,regal-san-bernardino-1799,1799,450 N. E Street,San Bernardino,CA,92401,34.1083,-117.2942,(844) 462-7342,True,US/Pacific,$6.00 every Tuesday,1
